10.1621/bzZQTlQOpH.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1478063,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,2010003K11Rik,99.69,0.453947368,1.616383833,4.96852E-48,10.1621/bzZQTlQOpH.1,
1477492,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Adtrp,99.68,0.44516129,1.4735698,2.53973E-47,10.1621/bzZQTlQOpH.1,
1511882,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Scarb1,99.68,0.421052632,1.309411284,3.08572E-47,10.1621/bzZQTlQOpH.1,
1480873,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Vwa8,99.68,0.441558442,1.365464928,2.26344E-46,10.1621/bzZQTlQOpH.1,
1483353,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Nceh1,99.67,0.484615385,1.550450523,3.30117E-46,10.1621/bzZQTlQOpH.1,
1477484,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acyp2,99.67,0.455172414,1.47124316,4.15078E-46,10.1621/bzZQTlQOpH.1,
1478720,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ifitm3,99.66,0.415204678,1.417148273,4.22908E-46,10.1621/bzZQTlQOpH.1,
1535921,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hsd17b12,99.66,0.415204678,1.362763495,4.22908E-46,10.1621/bzZQTlQOpH.1,
1516601,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Timm8a1,99.66,0.415204678,1.292582253,4.22908E-46,10.1621/bzZQTlQOpH.1,
1474499,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cycs,99.65,0.435897436,1.309769376,6.46216E-46,10.1621/bzZQTlQOpH.1,
1544761,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Slc46a3,99.65,0.435897436,1.386597093,6.46216E-46,10.1621/bzZQTlQOpH.1,
1513525,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Nab2,99.64,0.411764706,1.367284367,3.51575E-45,10.1621/bzZQTlQOpH.1,
1522065,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Elovl5,99.64,0.409356725,1.293031325,5.6593E-45,10.1621/bzZQTlQOpH.1,
1522191,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Tgoln1,99.63,0.415662651,1.324541297,6.90105E-45,10.1621/bzZQTlQOpH.1,
1540410,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Fitm2,99.63,0.513274336,1.524247627,1.62387E-44,10.1621/bzZQTlQOpH.1,
1515250,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Pctp,99.63,0.410714286,1.61072878,1.80397E-44,10.1621/bzZQTlQOpH.1,
1483083,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Bhlhb9,99.62,0.46969697,1.700786995,1.8843E-44,10.1621/bzZQTlQOpH.1,
1483708,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cda,99.62,0.428571429,1.504310499,4.88084E-44,10.1621/bzZQTlQOpH.1,
1479564,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mdfic,99.61,0.403508772,1.337502532,7.39378E-44,10.1621/bzZQTlQOpH.1,
1512658,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mpdu1,99.61,0.403508772,1.233072289,7.39378E-44,10.1621/bzZQTlQOpH.1,
1511122,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Dnajc15,99.61,0.403508772,1.257781493,7.39378E-44,10.1621/bzZQTlQOpH.1,
1483574,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Gale,99.61,0.403508772,1.411916927,7.39378E-44,10.1621/bzZQTlQOpH.1,
1475954,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mtap,99.59,0.423076923,1.298607451,1.33198E-43,10.1621/bzZQTlQOpH.1,
1520602,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mmadhc,99.59,0.423076923,1.271932835,1.33198E-43,10.1621/bzZQTlQOpH.1,
1484279,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Slc25a33,99.59,0.423076923,1.342089876,1.33198E-43,10.1621/bzZQTlQOpH.1,
1482916,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Tmem98,99.59,0.423076923,1.424490621,1.33198E-43,10.1621/bzZQTlQOpH.1,
1475342,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Chrna2,99.58,0.452554745,1.775536146,3.16983E-43,10.1621/bzZQTlQOpH.1,
1474065,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cenpv,99.57,0.402366864,1.218416871,3.76998E-43,10.1621/bzZQTlQOpH.1,
