10.1621/YjauVBA6hX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1819768,Androgen receptor,ALL,ALL,House Mouse,Cxcr4,99.7,0.35483871,1.2968877,1.62285E-07,10.1621/YjauVBA6hX.1,
1819016,Androgen receptor,ALL,ALL,House Mouse,Gstm2,99.7,0.35483871,1.270645463,1.62285E-07,10.1621/YjauVBA6hX.1,
1818984,Androgen receptor,ALL,ALL,House Mouse,Cav1,99.7,0.35483871,1.203330064,1.62285E-07,10.1621/YjauVBA6hX.1,
1818362,Androgen receptor,ALL,ALL,House Mouse,Ass1,99.7,0.35483871,1.217389403,1.62285E-07,10.1621/YjauVBA6hX.1,
1818081,Androgen receptor,ALL,ALL,House Mouse,Cenpv,99.7,0.35483871,1.177962316,1.62285E-07,10.1621/YjauVBA6hX.1,
1817305,Androgen receptor,ALL,ALL,House Mouse,Mest,99.7,0.35483871,1.229514832,1.62285E-07,10.1621/YjauVBA6hX.1,
1817164,Androgen receptor,ALL,ALL,House Mouse,Tfcp2l1,99.7,0.35483871,1.293567641,1.62285E-07,10.1621/YjauVBA6hX.1,
1816780,Androgen receptor,ALL,ALL,House Mouse,Epdr1,99.7,0.35483871,1.326722561,1.62285E-07,10.1621/YjauVBA6hX.1,
1816347,Androgen receptor,ALL,ALL,House Mouse,Mgp,99.7,0.35483871,1.337075473,1.62285E-07,10.1621/YjauVBA6hX.1,
1815485,Androgen receptor,ALL,ALL,House Mouse,Tab3,99.7,0.35483871,1.16598914,1.62285E-07,10.1621/YjauVBA6hX.1,
1814703,Androgen receptor,ALL,ALL,House Mouse,Slc2a1,99.7,0.35483871,1.202077512,1.62285E-07,10.1621/YjauVBA6hX.1,
1814557,Androgen receptor,ALL,ALL,House Mouse,Ampd3,99.7,0.35483871,1.363724158,1.62285E-07,10.1621/YjauVBA6hX.1,
1812043,Androgen receptor,ALL,ALL,House Mouse,Gadd45g,99.7,0.35483871,1.479224963,1.62285E-07,10.1621/YjauVBA6hX.1,
1811996,Androgen receptor,ALL,ALL,House Mouse,Gstm5,99.7,0.35483871,1.210730858,1.62285E-07,10.1621/YjauVBA6hX.1,
1807327,Androgen receptor,ALL,ALL,House Mouse,Aldh1a1,99.7,0.35483871,1.258345479,1.62285E-07,10.1621/YjauVBA6hX.1,
1807311,Androgen receptor,ALL,ALL,House Mouse,Mthfd2,99.7,0.35483871,1.436394307,1.62285E-07,10.1621/YjauVBA6hX.1,
1834671,Androgen receptor,ALL,ALL,House Mouse,6030422H21Rik,99.64,0.636363636,1.954798942,2.15614E-07,10.1621/YjauVBA6hX.1,
1838181,Androgen receptor,ALL,ALL,House Mouse,2410006H16Rik,99.64,0.636363636,1.271224853,2.15614E-07,10.1621/YjauVBA6hX.1,
1823248,Androgen receptor,ALL,ALL,House Mouse,Bcl6,99.63,0.34375,1.422279567,2.36038E-07,10.1621/YjauVBA6hX.1,
1826116,Androgen receptor,ALL,ALL,House Mouse,Myh14,99.63,0.34375,1.265677533,2.36038E-07,10.1621/YjauVBA6hX.1,
1823512,Androgen receptor,ALL,ALL,House Mouse,Ctgf,99.63,0.34375,1.383177278,2.36038E-07,10.1621/YjauVBA6hX.1,
1827328,Androgen receptor,ALL,ALL,House Mouse,Mrps6,99.62,0.428571429,1.309146271,3.30881E-07,10.1621/YjauVBA6hX.1,
1818647,Androgen receptor,ALL,ALL,House Mouse,Neat1,99.61,0.37037037,1.271456951,3.74582E-07,10.1621/YjauVBA6hX.1,
1839904,Androgen receptor,ALL,ALL,House Mouse,Mpp2,99.61,0.37037037,1.551974471,3.74582E-07,10.1621/YjauVBA6hX.1,
1810427,Androgen receptor,ALL,ALL,House Mouse,3110043O21Rik,99.59,0.357142857,1.177567158,5.56386E-07,10.1621/YjauVBA6hX.1,
1827163,Androgen receptor,ALL,ALL,House Mouse,S100a11,99.59,0.357142857,1.198627902,5.56386E-07,10.1621/YjauVBA6hX.1,
1820742,Androgen receptor,ALL,ALL,House Mouse,Cd302,99.59,0.357142857,1.137280176,5.56386E-07,10.1621/YjauVBA6hX.1,
