10.1621/eKFA8s5YRX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
2046173,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Saa1,99.65,0.5,2.165260309,1.11078E-05,10.1621/eKFA8s5YRX.1,
2045916,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Chdh,99.65,0.5,1.293521667,1.11078E-05,10.1621/eKFA8s5YRX.1,
2026985,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Csn3,99.54,0.388888889,1.797996242,1.5228E-05,10.1621/eKFA8s5YRX.1,
2044589,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Klf10,99.54,0.388888889,1.254203764,1.5228E-05,10.1621/eKFA8s5YRX.1,
2039410,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Hoxc4,99.54,0.388888889,1.764200843,1.5228E-05,10.1621/eKFA8s5YRX.1,
2039396,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Mdfic,99.54,0.388888889,1.285936148,1.5228E-05,10.1621/eKFA8s5YRX.1,
2039007,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Fabp7,99.54,0.388888889,1.465176533,1.5228E-05,10.1621/eKFA8s5YRX.1,
2038957,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Slc37a4,99.54,0.388888889,1.221688128,1.5228E-05,10.1621/eKFA8s5YRX.1,
2036997,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Gch1,99.54,0.388888889,1.35725057,1.5228E-05,10.1621/eKFA8s5YRX.1,
2036320,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Actn2,99.54,0.388888889,1.413301109,1.5228E-05,10.1621/eKFA8s5YRX.1,
2036278,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ptges,99.54,0.388888889,1.440216498,1.5228E-05,10.1621/eKFA8s5YRX.1,
2036229,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Crybg1,99.54,0.388888889,1.302479521,1.5228E-05,10.1621/eKFA8s5YRX.1,
2036188,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Stra6,99.54,0.388888889,1.768505555,1.5228E-05,10.1621/eKFA8s5YRX.1,
2035804,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,St3gal5,99.54,0.388888889,1.380033875,1.5228E-05,10.1621/eKFA8s5YRX.1,
2035582,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Cd36,99.54,0.388888889,1.870549751,1.5228E-05,10.1621/eKFA8s5YRX.1,
2034995,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Nr1d1,99.54,0.388888889,1.481408115,1.5228E-05,10.1621/eKFA8s5YRX.1,
2034510,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Aatk,99.54,0.388888889,1.304372959,1.5228E-05,10.1621/eKFA8s5YRX.1,
2033739,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Pdk1,99.54,0.388888889,1.390287019,1.5228E-05,10.1621/eKFA8s5YRX.1,
2033241,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Hoxb1,99.54,0.388888889,2.148037017,1.5228E-05,10.1621/eKFA8s5YRX.1,
2033220,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Foxa1,99.54,0.388888889,1.760687835,1.5228E-05,10.1621/eKFA8s5YRX.1,
2033056,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Vnn1,99.54,0.388888889,1.631187012,1.5228E-05,10.1621/eKFA8s5YRX.1,
